zip_file,date,year,month,day,doy,doy_bin_label,doy_bin_center,group_id,group_code,group_label,index,n_valid_pixels,date_min,date_q10,date_median,date_q90,date_max,date_mean
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,1,BR_OTHER_MIX,Fir/other or strongly mixed stand,NDVI,13912,0.49847155809402466,0.7968717217445374,0.8466731309890747,0.8772333860397339,0.9055166244506836,0.8408352136611938
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,1,BR_OTHER_MIX,Fir/other or strongly mixed stand,NDMI,13912,0.04697702080011368,0.2855481803417206,0.3624885678291321,0.4290151298046112,0.5341029763221741,0.3587598502635956
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,1,BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,13912,0.3539119362831116,0.602841854095459,0.6586936116218567,0.7022112011909485,0.769193708896637,0.6547389626502991
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,1,BR_OTHER_MIX,Fir/other or strongly mixed stand,NDRE,13912,0.49997708201408386,0.6155773997306824,0.6620115637779236,0.6974791288375854,0.7322143316268921,0.6588187217712402
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,2,FA_DOM_MIXED,Beech-dominated mixed (fir/other),NDVI,21214,0.45671820640563965,0.7958452105522156,0.8595932722091675,0.8846856951713562,0.9058802127838135,0.8476976752281189
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,2,FA_DOM_MIXED,Beech-dominated mixed (fir/other),NDMI,21214,-0.1260862648487091,0.26044780015945435,0.34587526321411133,0.40414291620254517,0.5236071348190308,0.33751052618026733
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,2,FA_DOM_MIXED,Beech-dominated mixed (fir/other),NBR,21214,0.14436455070972443,0.5713144540786743,0.6456657648086548,0.6862085461616516,0.7496719360351562,0.6350330114364624
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,2,FA_DOM_MIXED,Beech-dominated mixed (fir/other),NDRE,21214,0.3873401880264282,0.5991538166999817,0.6697763204574585,0.7049808502197266,0.7360938191413879,0.6599399447441101
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,3,FA_DOM_MO,Beech-dominated beech–spruce,NDVI,34591,0.5469384789466858,0.8035638332366943,0.8644607663154602,0.8880054950714111,0.9089398980140686,0.8540464639663696
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,3,FA_DOM_MO,Beech-dominated beech–spruce,NDMI,34591,0.022268688306212425,0.25819486379623413,0.34538644552230835,0.398088276386261,0.521744430065155,0.3356345295906067
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,3,FA_DOM_MO,Beech-dominated beech–spruce,NBR,34591,0.24516889452934265,0.5758066177368164,0.6483572721481323,0.6863555908203125,0.7648569941520691,0.6381502151489258
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,3,FA_DOM_MO,Beech-dominated beech–spruce,NDRE,34591,0.4083263874053955,0.6087547540664673,0.6812924146652222,0.7149354815483093,0.7431830167770386,0.6704028844833374
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,4,FA_PURE,Pure beech,NDVI,13083,0.46037429571151733,0.837770938873291,0.871717631816864,0.8956393003463745,0.910614550113678,0.8671382069587708
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,4,FA_PURE,Pure beech,NDMI,13083,0.007004428654909134,0.2815690338611603,0.3513053357601166,0.3876952826976776,0.48104923963546753,0.34180372953414917
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,4,FA_PURE,Pure beech,NBR,13083,0.2663927972316742,0.6008962988853455,0.6557478308677673,0.6814560294151306,0.7435871958732605,0.64654940366745
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,4,FA_PURE,Pure beech,NDRE,13083,0.4531819224357605,0.6334276795387268,0.6903902888298035,0.7248637080192566,0.7442339062690735,0.6826136708259583
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,5,MO_DOM_FA,Spruce-dominated spruce–beech,NDVI,42608,0.324746698141098,0.766983151435852,0.8354870676994324,0.8796668648719788,0.9045255184173584,0.8272993564605713
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,5,MO_DOM_FA,Spruce-dominated spruce–beech,NDMI,42608,-0.25129520893096924,0.2929135262966156,0.37407606840133667,0.4305300712585449,0.5330204963684082,0.3660637140274048
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,5,MO_DOM_FA,Spruce-dominated spruce–beech,NBR,42608,-0.014513026922941208,0.5991467833518982,0.6672449707984924,0.7064332365989685,0.7779148817062378,0.6571495532989502
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,5,MO_DOM_FA,Spruce-dominated spruce–beech,NDRE,42608,0.3207346200942993,0.5857462286949158,0.6601262092590332,0.7103633284568787,0.7470081448554993,0.6524289846420288
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,6,MO_DOM_MIXED,Spruce-dominated mixed (fir/other),NDVI,33746,0.25310155749320984,0.7707997560501099,0.8227139711380005,0.868649959564209,0.9002965092658997,0.8184208869934082
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,6,MO_DOM_MIXED,Spruce-dominated mixed (fir/other),NDMI,33746,-0.25314217805862427,0.2886705994606018,0.36946171522140503,0.4320492446422577,0.5256029963493347,0.36352190375328064
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,6,MO_DOM_MIXED,Spruce-dominated mixed (fir/other),NBR,33746,0.014159291982650757,0.5964595079421997,0.6613343358039856,0.7048894166946411,0.7628647685050964,0.653719425201416
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,6,MO_DOM_MIXED,Spruce-dominated mixed (fir/other),NDRE,33746,0.2535184323787689,0.5796646475791931,0.6427412033081055,0.689078688621521,0.7329192757606506,0.6365190148353577
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,7,MO_FA_BALANCED,Balanced spruce–beech mix,NDVI,11265,0.5132343769073486,0.7603325247764587,0.8454596996307373,0.8769900798797607,0.9008681178092957,0.8301515579223633
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,7,MO_FA_BALANCED,Balanced spruce–beech mix,NDMI,11265,0.02382899448275566,0.2813476622104645,0.3558396100997925,0.4123886823654175,0.5007750988006592,0.35028135776519775
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,7,MO_FA_BALANCED,Balanced spruce–beech mix,NBR,11265,0.2561597228050232,0.5906625986099243,0.6518871784210205,0.6931428909301758,0.7520393133163452,0.6453381180763245
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,7,MO_FA_BALANCED,Balanced spruce–beech mix,NDRE,11265,0.4232897162437439,0.5768573880195618,0.6509029865264893,0.6925852298736572,0.731918215751648,0.6413657069206238
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,8,MO_PURE,Pure spruce,NDVI,20710,0.2748678922653198,0.7012491226196289,0.7902652621269226,0.8530431985855103,0.898457944393158,0.781097412109375
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,8,MO_PURE,Pure spruce,NDMI,20710,-0.11984482407569885,0.21637213230133057,0.3469962477684021,0.4209153652191162,0.5685398578643799,0.3308253884315491
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,8,MO_PURE,Pure spruce,NBR,20710,0.009748861193656921,0.5072932839393616,0.6378462314605713,0.6982384920120239,0.7834434509277344,0.6169236302375793
SdV_2017-08-05_no_clouds.zip,2017-08-05,2017,8,5,217,211-240,226,8,MO_PURE,Pure spruce,NDRE,20710,0.3319913446903229,0.5126545429229736,0.5960296392440796,0.6707277894020081,0.741356372833252,0.5937683582305908
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,1,BR_OTHER_MIX,Fir/other or strongly mixed stand,NDVI,13912,0.5342968702316284,0.8266130685806274,0.8691466450691223,0.8928883075714111,0.9167116284370422,0.8635503053665161
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,1,BR_OTHER_MIX,Fir/other or strongly mixed stand,NDMI,13912,0.007699174340814352,0.3017618954181671,0.3857772946357727,0.4582275152206421,0.5611845850944519,0.3815383315086365
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,1,BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,13912,0.349017858505249,0.6162930130958557,0.6751343011856079,0.7218344211578369,0.7859349250793457,0.6708630323410034
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,1,BR_OTHER_MIX,Fir/other or strongly mixed stand,NDRE,13912,0.48245131969451904,0.629725456237793,0.6739820837974548,0.7059372067451477,0.7410977482795715,0.6703072786331177
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,2,FA_DOM_MIXED,Beech-dominated mixed (fir/other),NDVI,21214,0.44838809967041016,0.8181168437004089,0.8766629695892334,0.8980536460876465,0.9174439311027527,0.8653734922409058
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,2,FA_DOM_MIXED,Beech-dominated mixed (fir/other),NDMI,21214,-0.2365824282169342,0.2743265628814697,0.36245831847190857,0.424615740776062,0.5564918518066406,0.3541445732116699
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,2,FA_DOM_MIXED,Beech-dominated mixed (fir/other),NBR,21214,0.03329207003116608,0.583457350730896,0.6575627326965332,0.700627863407135,0.7904037833213806,0.6474445462226868
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,2,FA_DOM_MIXED,Beech-dominated mixed (fir/other),NDRE,21214,0.37633153796195984,0.6062933802604675,0.674870491027832,0.7117241621017456,0.7627472877502441,0.6665732860565186
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,3,FA_DOM_MO,Beech-dominated beech–spruce,NDVI,34591,0.5659102201461792,0.8212494254112244,0.881403923034668,0.9025415182113647,0.9210502505302429,0.8695168495178223
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,3,FA_DOM_MO,Beech-dominated beech–spruce,NDMI,34591,0.001422843080945313,0.2558648884296417,0.35646823048591614,0.416634202003479,0.5550515651702881,0.3447725474834442
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,3,FA_DOM_MO,Beech-dominated beech–spruce,NBR,34591,0.24909593164920807,0.575798511505127,0.6572624444961548,0.6985489130020142,0.785275399684906,0.6447247862815857
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,3,FA_DOM_MO,Beech-dominated beech–spruce,NDRE,34591,0.41898080706596375,0.6119596362113953,0.6886197924613953,0.7224571108818054,0.7657694816589355,0.6759470105171204
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,4,FA_PURE,Pure beech,NDVI,13083,0.5382242202758789,0.8547047972679138,0.887230634689331,0.9077062010765076,0.9215636253356934,0.8817075490951538
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,4,FA_PURE,Pure beech,NDMI,13083,-0.018445217981934547,0.2776116728782654,0.35862472653388977,0.4035780429840088,0.5305783748626709,0.348212867975235
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,4,FA_PURE,Pure beech,NBR,13083,0.24002303183078766,0.5967541337013245,0.6615621447563171,0.6916530728340149,0.7612524628639221,0.6512951850891113
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,4,FA_PURE,Pure beech,NDRE,13083,0.4259759187698364,0.6342276334762573,0.6977556347846985,0.7315718531608582,0.7555155754089355,0.6880117058753967
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,5,MO_DOM_FA,Spruce-dominated spruce–beech,NDVI,42608,0.3927650451660156,0.803846001625061,0.8610220551490784,0.8955768942832947,0.9175812005996704,0.8530057072639465
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,5,MO_DOM_FA,Spruce-dominated spruce–beech,NDMI,42608,-0.31705358624458313,0.3039707541465759,0.3954545855522156,0.4606403112411499,0.5633172988891602,0.38642463088035583
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,5,MO_DOM_FA,Spruce-dominated spruce–beech,NBR,42608,-0.08732955157756805,0.6106220483779907,0.6817423105239868,0.7262604832649231,0.7941028475761414,0.6718994379043579
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,5,MO_DOM_FA,Spruce-dominated spruce–beech,NDRE,42608,0.34332817792892456,0.6079145073890686,0.6766677498817444,0.7200629115104675,0.7539802193641663,0.6682382225990295
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,6,MO_DOM_MIXED,Spruce-dominated mixed (fir/other),NDVI,33752,0.2562451958656311,0.8046488761901855,0.8492921590805054,0.8848341107368469,0.9117868542671204,0.8441503047943115
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,6,MO_DOM_MIXED,Spruce-dominated mixed (fir/other),NDMI,33752,-0.2782178223133087,0.31126147508621216,0.3979205787181854,0.4646938443183899,0.5599944591522217,0.3911111354827881
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,6,MO_DOM_MIXED,Spruce-dominated mixed (fir/other),NBR,33752,-0.07038281857967377,0.6159690022468567,0.6811981201171875,0.7283871173858643,0.7957216501235962,0.6742487549781799
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,6,MO_DOM_MIXED,Spruce-dominated mixed (fir/other),NDRE,33752,0.2845061719417572,0.5994828939437866,0.6578356027603149,0.696533739566803,0.733655571937561,0.6506661176681519
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,7,MO_FA_BALANCED,Balanced spruce–beech mix,NDVI,11265,0.493658185005188,0.7986590266227722,0.8636154532432556,0.8907832503318787,0.9176172018051147,0.8520094752311707
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,7,MO_FA_BALANCED,Balanced spruce–beech mix,NDMI,11265,0.016906654462218285,0.2859611213207245,0.37419208884239197,0.4429977834224701,0.5609991550445557,0.36801451444625854
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,7,MO_FA_BALANCED,Balanced spruce–beech mix,NBR,11265,0.2668518126010895,0.5969750285148621,0.6656672358512878,0.7135104537010193,0.7964578866958618,0.6587910652160645
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,7,MO_FA_BALANCED,Balanced spruce–beech mix,NDRE,11265,0.40972408652305603,0.5940740704536438,0.6592779755592346,0.7000907063484192,0.738426685333252,0.6513264179229736
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,8,MO_PURE,Pure spruce,NDVI,20710,0.3372093141078949,0.7369725108146667,0.8204966187477112,0.8741531372070312,0.9147818088531494,0.8103755116462708
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,8,MO_PURE,Pure spruce,NDMI,20710,-0.1141296774148941,0.2347741425037384,0.3761307895183563,0.4582083225250244,0.5405394434928894,0.3587954640388489
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,8,MO_PURE,Pure spruce,NBR,20710,0.0015420200070366263,0.5250468254089355,0.6598705649375916,0.7234073281288147,0.7796288728713989,0.6384419202804565
SdV_2017-08-25_no_clouds.zip,2017-08-25,2017,8,25,237,211-240,226,8,MO_PURE,Pure spruce,NDRE,20710,0.3150513172149658,0.5316119194030762,0.6140022873878479,0.68471360206604,0.7498847842216492,0.6101954579353333
SdV_2017-10-19_no_clouds.zip,2017-10-19,2017,10,19,292,271-300,286,1,BR_OTHER_MIX,Fir/other or strongly mixed stand,NDVI,13612,0.41191259026527405,0.580034077167511,0.7274843454360962,0.8501008749008179,0.9775204062461853,0.7215254902839661
SdV_2017-10-19_no_clouds.zip,2017-10-19,2017,10,19,292,271-300,286,1,BR_OTHER_MIX,Fir/other or strongly mixed stand,NDMI,13612,-0.40009260177612305,0.020730501040816307,0.231797456741333,0.40778547525405884,0.6012354493141174,0.22031870484352112
SdV_2017-10-19_no_clouds.zip,2017-10-19,2017,10,19,292,271-300,286,1,BR_OTHER_MIX,Fir/other or strongly mixed stand,NBR,13612,-0.07486739754676819,0.32468360662460327,0.5133152604103088,0.6646450757980347,0.8021554350852966,0.502159833908081
SdV_2017-10-19_no_clouds.zip,2017-10-19,2017,10,19,292,271-300,286,1,BR_OTHER_MIX,Fir/other or strongly mixed stand,NDRE,13612,0.3737688362598419,0.45634666085243225,0.5569523572921753,0.6441705822944641,0.7315310835838318,0.5530053973197937
SdV_2017-10-19_no_clouds.zip,2017-10-19,2017,10,19,292,271-300,286,2,FA_DOM_MIXED,Beech-dominated mixed (fir/other),NDVI,19403,0.3700266182422638,0.5530394911766052,0.6535994410514832,0.7869808673858643,0.9941956996917725,0.6613374948501587
