group_code,group_label,index,doy_bin_label,doy_bin_center,n_dates,support_pixels_total,env_q_low,env_q_med,env_q_high,curve_min,curve_med,curve_max,median_of_date_q10,median_of_date_q90,min_of_date_min,max_of_date_max
FA_PURE,Pure beech,NBR,091-120,106,1,13058,0.20064881443977356,0.20064881443977356,0.20064881443977356,0.20064881443977356,0.20064881443977356,0.20064881443977356,0.11489620804786682,0.34065890312194824,-0.06546985357999802,0.6326292753219604
FA_PURE,Pure beech,NBR,121-150,136,5,57793,0.2218637615442276,0.29371583461761475,0.4794951915740967,0.2218637615442276,0.29371583461761475,0.58863365650177,0.1983477622270584,0.4038926362991333,-0.20703040063381195,0.7021983861923218
FA_PURE,Pure beech,NBR,151-180,166,1,13083,0.6835609078407288,0.6835609078407288,0.6835609078407288,0.6835609078407288,0.6835609078407288,0.6835609078407288,0.6272605657577515,0.7077012062072754,0.20074142515659332,0.7707646489143372
FA_PURE,Pure beech,NBR,181-210,196,6,78064,0.6659889221191406,0.6707840263843536,0.6929871737957001,0.6658341884613037,0.6707840263843536,0.6963191628456116,0.6101373732089996,0.6994993388652802,-0.06060606241226196,0.8782347440719604
FA_PURE,Pure beech,NBR,211-240,226,9,116162,0.6589431643486023,0.6738306283950806,0.6967138648033142,0.6557478308677673,0.6738306283950806,0.7029418349266052,0.609117329120636,0.7004499435424805,0.01253132801502943,0.8022047281265259
FA_PURE,Pure beech,NBR,241-270,256,2,26166,0.655387943983078,0.6641822755336761,0.6729766070842743,0.6531893610954285,0.6641822755336761,0.6751751899719238,0.5842653512954712,0.6970731317996979,0.09502565115690231,0.8032935261726379
FA_PURE,Pure beech,NBR,271-300,286,10,127164,0.31597800552845,0.6076397001743317,0.66929771900177,0.31439027190208435,0.6076397001743317,0.691699206829071,0.4947874844074249,0.6735993921756744,-0.40609270334243774,0.8468318581581116
FA_PURE,Pure beech,NBR,301-330,316,6,56885,0.27900317311286926,0.3346479535102844,0.4941764771938324,0.27805668115615845,0.3346479535102844,0.5394191741943359,0.19535893946886063,0.5545733273029327,-0.540772557258606,0.8474090695381165
FA_PURE,Pure beech,NDMI,061-090,76,1,13063,0.11472447961568832,0.11472447961568832,0.11472447961568832,0.11472447961568832,0.11472447961568832,0.11472447961568832,-0.06806288659572601,0.3006440997123718,-0.435598224401474,0.6423200964927673
FA_PURE,Pure beech,NDMI,091-120,106,1,13058,-0.020444000139832497,-0.020444000139832497,-0.020444000139832497,-0.020444000139832497,-0.020444000139832497,-0.020444000139832497,-0.09416037052869797,0.09916865080595016,-0.2588481307029724,0.4044284224510193
FA_PURE,Pure beech,NDMI,121-150,136,5,57793,-0.022000228986144066,0.05353263393044472,0.2202948421239853,-0.022000228986144066,0.05353263393044472,0.3119660019874573,-0.026844998821616173,0.165635883808136,-0.45237916707992554,0.46684709191322327
FA_PURE,Pure beech,NDMI,151-180,166,1,13083,0.3938305675983429,0.3938305675983429,0.3938305675983429,0.3938305675983429,0.3938305675983429,0.3938305675983429,0.3191809356212616,0.4293663203716278,-0.05074334517121315,0.5309475064277649
FA_PURE,Pure beech,NDMI,181-210,196,6,78064,0.36705291271209717,0.378470316529274,0.39850732684135437,0.3659525513648987,0.378470316529274,0.4071841537952423,0.2972215563058853,0.41892459988594055,-0.20357941091060638,0.6417142748832703
FA_PURE,Pure beech,NDMI,211-240,226,9,116162,0.35038559436798095,0.3703194260597229,0.39435505867004395,0.3467066287994385,0.3703194260597229,0.40731894969940186,0.2866451144218445,0.41100093722343445,-0.20724880695343018,0.5862720012664795
FA_PURE,Pure beech,NDMI,241-270,256,2,26166,0.3417669266462326,0.35514889657497406,0.3685308665037155,0.33842143416404724,0.35514889657497406,0.3718763589859009,0.25313666462898254,0.4045208990573883,-0.23915396630764008,0.5523315072059631
FA_PURE,Pure beech,NDMI,271-300,286,10,127164,0.019713452272117137,0.29171018302440643,0.36357850730419156,-0.01087958738207817,0.29171018302440643,0.39767616987228394,0.15476775169372559,0.3907247632741928,-0.6656226515769958,0.6169921159744263
FA_PURE,Pure beech,NDMI,301-330,316,6,56885,0.0031560283387079835,0.039595216512680054,0.169998437166214,0.002037361031398177,0.039595216512680054,0.20930474996566772,-0.0933634340763092,0.2865454703569412,-0.6808616518974304,0.6452769041061401
FA_PURE,Pure beech,NDRE,061-090,76,1,13063,0.3646714985370636,0.3646714985370636,0.3646714985370636,0.3646714985370636,0.3646714985370636,0.3646714985370636,0.26492172479629517,0.47843942046165466,0.0,0.7333688735961914
FA_PURE,Pure beech,NDRE,091-120,106,1,13058,0.361023485660553,0.361023485660553,0.361023485660553,0.361023485660553,0.361023485660553,0.361023485660553,0.31750205159187317,0.4179115295410156,0.23936212062835693,0.5616118907928467
FA_PURE,Pure beech,NDRE,121-150,136,5,57793,0.37049615383148193,0.37409377098083496,0.4452434003353119,0.37049615383148193,0.37409377098083496,0.48124900460243225,0.3399884104728699,0.42797625064849854,0.1847405582666397,0.6252473592758179
FA_PURE,Pure beech,NDRE,151-180,166,1,13083,0.7114197015762329,0.7114197015762329,0.7114197015762329,0.7114197015762329,0.7114197015762329,0.7114197015762329,0.6675016283988953,0.7437138557434082,0.34384146332740784,0.7605100870132446
FA_PURE,Pure beech,NDRE,181-210,196,6,78064,0.6972348093986511,0.7117542326450348,0.7207524180412292,0.6884617805480957,0.7117542326450348,0.7270328998565674,0.6546643972396851,0.7422012686729431,0.239130437374115,0.8089416027069092
FA_PURE,Pure beech,NDRE,211-240,226,9,116162,0.6591974020004272,0.6992879509925842,0.7354293465614319,0.6547235250473022,0.6992879509925842,0.7423818707466125,0.6367455124855042,0.7315718531608582,0.2879612445831299,0.8002221584320068
FA_PURE,Pure beech,NDRE,241-270,256,2,26166,0.6993936181068421,0.7001197934150696,0.7008459687232971,0.6992120742797852,0.7001197934150696,0.701027512550354,0.643409788608551,0.7391351759433746,0.40199893712997437,0.7605566382408142
FA_PURE,Pure beech,NDRE,271-300,286,10,127164,0.4681944578886032,0.5585701167583466,0.656356406211853,0.4520583152770996,0.5585701167583466,0.6774354577064514,0.45465385913848877,0.6161987781524658,0.2570456564426422,1.0
FA_PURE,Pure beech,NDRE,301-330,316,6,56885,0.4476346969604492,0.4648570269346237,0.4809876084327698,0.44037336111068726,0.4648570269346237,0.4811389744281769,0.417790025472641,0.5791496336460114,0.3167364001274109,0.9806403517723083
FA_PURE,Pure beech,NDVI,061-090,76,1,13063,0.5162729620933533,0.5162729620933533,0.5162729620933533,0.5162729620933533,0.5162729620933533,0.5162729620933533,0.3742983341217041,0.6758182644844055,0.021161384880542755,0.8965036869049072
