scene,date,doy,support_px,clear_support_px,clear_frac,veg_frac,snow_frac,cloud_frac,shadow_frac,scl7_frac,ndvi_med_clear,ndre_med_clear,ndmi_med_clear,nbr_med_clear,ndsi_med_clear
SdV_2019-02-16_snow.zip,2019-02-16,47,191154,87484,0.45766240831999333,0.1601797503583498,0.22208795002981888,0.017331575588269144,0.3029180660619187,0.21287548259518504,0.4653249979019165,0.32553237676620483,0.6122723817825317,0.7640159726142883,0.17474712431430817
SdV_2019-05-12.zip,2019-05-12,132,191154,2721,0.014234596189459808,0.014187513732383314,0.0,0.9856660075122676,9.939629827259696e-05,4.70824570764933e-05,0.58597731590271,0.38148894906044006,0.24048809707164764,0.4488932192325592,-0.33694830536842346
SdV_2019-07-01_no_clouds.zip,2019-07-01,182,191154,191135,0.9999006037017274,0.9994820929721586,0.0,0.0,9.939629827259696e-05,0.0,0.8727864027023315,0.6636159420013428,0.3625924587249756,0.6455985307693481,-0.5889711976051331
SdV_2019-07-06_low_clouds.zip,2019-07-06,187,191154,183055,0.9576310200152757,0.9506994360567919,0.0,0.010635403915167875,0.031733576069556485,0.003740439645521412,0.8801090121269226,0.6697893142700195,0.3679998219013214,0.6507197618484497,-0.5743282437324524
SdV_2019-10-19_no_clouds.zip,2019-10-09,282,191154,189273,0.9901597664710129,0.9879155026837001,0.0,0.0,0.0098402335289871,0.0005649894849179196,0.8596301674842834,0.6034305095672607,0.3337092995643616,0.6288565397262573,-0.5967879891395569
SdV_2020-01-12_snow.zip,2020-01-12,12,191154,73068,0.3822467748516903,0.2581269552298147,0.07449490986325162,0.07532146855415006,0.46787407012147275,0.10917375519214874,0.6885539293289185,0.4939481317996979,0.5607765316963196,0.7528274059295654,-0.17209301888942719
SdV_2020-02-06_snow.zip,2020-02-06,37,191154,66388,0.347301128932693,0.040930349351831506,0.2297153080762108,0.10925222595394289,0.3137313370371533,0.30471243081494503,0.3426320552825928,0.24460729956626892,0.7520612478256226,0.8028004169464111,0.5346450209617615
SdV_2020-03-27_spring.zip,2020-03-27,87,191154,149288,0.7809828724483924,0.5009521119097691,0.10775081871161472,0.015113468721554349,0.09615284011843854,0.21640666687592203,0.6084452867507935,0.41759341955184937,0.37736958265304565,0.5996983051300049,-0.4837276339530945
SdV_2020-04-06_spring.zip,2020-04-06,97,191154,173991,0.9102137543551273,0.6794364753026356,0.041186687173692414,0.003102210782928947,0.04549734768825136,0.1619950406478546,0.6046572923660278,0.41968071460723877,0.27075302600860596,0.5018904805183411,-0.5033244490623474
SdV_2020-05-11_no_clouds.zip,2020-05-11,132,191154,137626,0.7199744708454963,0.701758791341013,0.0,0.2796017870408153,0.0004237421136884397,0.0011299789698358393,0.6261201500892639,0.4196104109287262,0.1754060685634613,0.408453106880188,-0.48152482509613037
